Measurement_number,Point_X,Point_Y,QR_Top_Left_X,QR_Top_Left_Y,Pixel_Focal_Length_X,Angular_Error_Yaw_Asset,Angular_Error_Yaw_QR,Angular_Error_Yaw_Total
0,-116,140,-109,71,1482.811,-4.473126745934493,-4.204195304441234,-0.2689314414932591
1,-104,133,-99,70,1482.811,-4.011987377894728,-3.8196889513417203,-0.1922984265530081
2,-100,126,-97,69,1482.811,-3.8581552960867627,-3.742744735907411,-0.11541056017935158
3,-103,124,-99,69,1482.811,-3.973534693528026,-3.8196889513417203,-0.15384574218630576
4,-97,119,-96,69,1482.811,-3.742744735907411,-3.7042677189917903,-0.038477016915620776
5,-102,118,-94,69,1482.811,-3.9350785940667388,-3.6273038667636173,-0.3077747273031215
6,-96,150,-94,77,1482.811,-3.7042677189917903,-3.6273038667636173,-0.07696385222817304
7,-95,155,-94,74,1482.811,-3.665787713868408,-3.6273038667636173,-0.03848384710479058
8,-96,167,-97,72,1482.811,-3.7042677189917903,-3.742744735907411,0.038477016915620776
9,-93,162,-93,70,1482.811,-3.588816604564242,-3.588816604564242,0.0
10,-91,166,-98,72,1482.811,-3.511833115542205,-3.7812183377284465,0.2693852221862416
11,-92,165,-97,70,1482.811,-3.5503265676005156,-3.742744735907411,0.1924181683068955
12,-103,169,-102,66,1482.811,-3.973534693528026,-3.9350785940667388,-0.03845609946128725
13,-96,147,-99,69,1482.811,-3.7042677189917903,-3.8196889513417203,0.11542123234992996
14,-77,162,-93,67,1482.811,-2.9726080367030927,-3.588816604564242,0.6162085678611491
15,-83,155,-93,65,1482.811,-3.2037747219451163,-3.588816604564242,0.38504188261912553
16,-84,149,-101,70,1482.811,-3.2422925065523454,-3.8966186526240434,0.654326146071698
17,-93,161,-104,71,1482.811,-3.588816604564242,-4.011987377894728,0.4231707733304866
18,-83,176,-96,73,1482.811,-3.2037747219451163,-3.7042677189917903,0.500492997046674
19,-92,173,-101,73,1482.811,-3.5503265676005156,-3.8966186526240434,0.3462920850235278
20,-85,172,-99,71,1482.811,-3.280807516395224,-3.8196889513417203,0.5388814349464961
21,-68,174,-92,71,1482.811,-2.6256786096526383,-3.5503265676005156,0.9246479579478772
22,-86,173,-97,72,1482.811,-3.3193193245869295,-3.742744735907411,0.4234254113204816
23,-91,176,-106,72,1482.811,-3.511833115542205,-4.088881647570732,0.577048532028527
24,-88,174,-105,67,1482.811,-3.396334189790466,-4.050436220280023,0.6541020304895571
25,-85,167,-109,69,1482.811,-3.280807516395224,-4.204195304441234,0.9233877880460102
26,-85,184,-108,71,1482.811,-3.280807516395224,-4.165760976207927,0.8849534598127025
27,-84,177,-106,69,1482.811,-3.2422925065523454,-4.088881647570732,0.8465891410183866
28,-93,181,-115,72,1482.811,-3.588816604564242,-4.434719738457865,0.8459031338936231
29,-97,178,-118,71,1482.811,-3.742744735907411,-4.549928808056702,0.8071840721492909
30,-85,175,-116,74,1482.811,-3.280807516395224,-4.473126745934493,1.1923192295392693
31,-104,187,-121,80,1482.811,-4.011987377894728,-4.665100738501926,0.6531133606071977
32,-109,182,-129,76,1482.811,-4.204195304441234,-4.972038340744898,0.7678430363036632
33,-143,170,-148,75,1482.811,-5.508481398157699,-5.699838966152538,0.19135756799483872
34,-178,179,-171,83,1482.811,-6.8451609446734185,-6.5783758901268365,-0.26678505454658197
35,-218,143,-194,65,1482.811,-8.363599935852818,-7.453817884633473,-0.9097820512193451
36,-191,144,-182,58,1482.811,-7.339819466065022,-6.9974758707119955,-0.34234359535302605
37,-201,127,-189,59,1482.811,-7.719582252785961,-7.263787507771732,-0.455794745014229
38,-203,136,-189,64,1482.811,-7.795454555407401,-7.263787507771732,-0.5316670476356693
39,-207,106,-191,48,1482.811,-7.9471154908329495,-7.339819466065022,-0.607296024767928
40,-172,132,-168,59,1482.811,-6.616505848055255,-6.463951438508905,-0.15255440954635002
41,-175,124,-163,56,1482.811,-6.730860290234194,-6.273129186590266,-0.457731103643928
42,-173,135,-171,54,1482.811,-6.654630256454975,-6.5783758901268365,-0.07625436632813809
43,-179,143,-176,57,1482.811,-6.8832486408063485,-6.768966342500518,-0.11428229830583003
44,-166,152,-165,57,1482.811,-6.387639442459645,-6.3494749066985525,-0.038164535761092466
45,-163,153,-168,55,1482.811,-6.273129186590266,-6.463951438508905,0.19082225191863955
46,-125,71,-139,29,1482.811,-4.818604117456085,-5.355306722057347,0.5367026046012615
47,-81,12,-129,-15,1482.811,-3.126730401550784,-4.972038340744898,1.8453079391941136
48,-191,38,-198,-14,1482.811,-7.339819466065022,-7.605723853095495,0.26590438703047337
49,-181,104,-157,-15,1482.811,-6.95940653071246,-6.043957556916121,-0.9154489737963392
50,-169,85,-156,-18,1482.811,-6.5020988987970725,-6.0057430753967225,-0.49635582340035
51,-221,27,-188,-32,1482.811,-8.477034863814742,-7.2257621371149785,-1.2512727266997636
52,-208,27,-199,-29,1482.811,-7.985012795442765,-7.643682629407841,-0.3413301660349246
53,-194,29,-197,-31,1482.811,-7.453817884633473,-7.567757392820333,0.11393950818685994
54,-162,8,-181,-28,1482.811,-6.234947575356249,-6.95940653071246,0.7244589553562113
55,-145,20,-150,-24,1482.811,-5.58503928101708,-5.776346049479967,0.19130676846288708
56,-104,26,-122,-26,1482.811,-4.011987377894728,-4.703482559655989,0.6914951817612609
57,-93,21,-113,-27,1482.811,-3.588816604564242,-4.357894197560385,0.7690775929961431
58,-143,68,-139,-31,1482.811,-5.508481398157699,-5.355306722057347,-0.1531746761003525
59,-142,55,-151,-27,1482.811,-5.470195199652016,-5.814592120624276,0.34439692097225993
60,-149,42,-153,-26,1482.811,-5.73809485569378,-5.89106846810044,0.15297361240665985
61,-148,52,-156,-24,1482.811,-5.699838966152538,-6.0057430753967225,0.3059041092441843
62,-139,53,-150,-17,1482.811,-5.355306722057347,-5.776346049479967,0.42103932742262007
63,-138,42,-140,-25,1482.811,-5.3170008867578,-5.39360786160184,0.07660697484404011
64,-123,38,-134,-27,1482.811,-4.741860538828645,-5.163730161122245,0.4218696222935998
65,-106,56,-128,-23,1482.811,-4.088881647570732,-4.933686401668453,0.844804754097721
66,-140,53,-150,-26,1482.811,-5.39360786160184,-5.776346049479967,0.3827381878781271
67,-143,52,-153,-19,1482.811,-5.508481398157699,-5.89106846810044,0.3825870699427405
68,-166,79,-155,-15,1482.811,-6.387639442459645,-5.96752389812227,-0.4201155443373752
69,-164,64,-148,-11,1482.811,-6.3113048214087595,-5.699838966152538,-0.6114658552562213
70,-166,60,-147,-10,1482.811,-6.387639442459645,-5.6615775270825965,-0.7260619153770485
71,-143,10,-144,-15,1482.811,-5.508481398157699,-5.546762900908328,0.03828150275062825
72,-147,5,-145,-16,1482.811,-5.6615775270825965,-5.58503928101708,-0.07653824606551662
73,-170,52,-158,-12,1482.811,-6.540240382669716,-6.082166488906818,-0.4580738937628981
74,-153,25,-146,-14,1482.811,-5.89106846810044,-5.623310965370776,-0.2677575027296637
75,-133,32,-132,-16,1482.811,-5.125401273934249,-5.087067264104375,-0.03833400982987367
76,-125,34,-125,-14,1482.811,-4.818604117456085,-4.818604117456085,0.0
77,-155,49,-132,-24,1482.811,-5.96752389812227,-5.087067264104375,-0.8804566340178948
78,-161,23,-149,-20,1482.811,-6.19676041459353,-5.73809485569378,-0.45866555889975036
79,-163,33,-146,-19,1482.811,-6.273129186590266,-5.623310965370776,-0.6498182212194896
80,-159,46,-144,-16,1482.811,-6.120370298255638,-5.546762900908328,-0.5736073973473106
81,-169,50,-142,-17,1482.811,-6.5020988987970725,-5.470195199652016,-1.0319036991450563
82,-169,53,-139,-24,1482.811,-6.5020988987970725,-5.355306722057347,-1.1467921767397256
83,-167,62,-139,-17,1482.811,-6.425798001805214,-5.355306722057347,-1.0704912797478672
84,-145,44,-126,-21,1482.811,-5.58503928101708,-4.856968863137223,-0.7280704178798567
85,-133,23,-120,-22,1482.811,-5.125401273934249,-4.626713794705985,-0.4986874792282636
86,-141,25,-131,-28,1482.811,-5.431903451617631,-5.048728558519447,-0.3831748930981842
87,-122,7,-119,-40,1482.811,-4.703482559655989,-4.5883230089286355,-0.11515955072735373
88,-107,-1,-106,-44,1482.811,-4.127323232880033,-4.088881647570732,-0.038441585309301196
89,-123,16,-119,-50,1482.811,-4.741860538828645,-4.5883230089286355,-0.15353752990000924
90,-122,25,-124,-37,1482.811,-4.703482559655989,-4.780234676019892,0.07675211636390245
91,-136,21,-135,-41,1482.811,-5.240375128893542,-5.202055206328832,-0.038319922564710396
92,-132,14,-135,-38,1482.811,-5.087067264104375,-5.202055206328832,0.11498794222445685
93,-137,21,-137,-38,1482.811,-5.278689928816375,-5.278689928816375,0.0
94,-110,11,-120,-40,1482.811,-4.242626217579957,-4.626713794705985,0.3840875771260279
95,-113,24,-120,-31,1482.811,-4.357894197560385,-4.626713794705985,0.2688195971456002
96,-155,115,-125,-25,1482.811,-5.96752389812227,-4.818604117456085,-1.1489197806661844
97,-117,-27,-115,-57,1482.811,-4.511529911429713,-4.434719738457865,-0.07681017297184844
98,-155,5,-132,-48,1482.811,-5.96752389812227,-5.087067264104375,-0.8804566340178948
99,-139,-15,-129,-42,1482.811,-5.355306722057347,-4.972038340744898,-0.38326838131244934
100,-147,1,-133,-40,1482.811,-5.6615775270825965,-5.125401273934249,-0.5361762531483478
101,-148,10,-132,-39,1482.811,-5.699838966152538,-5.087067264104375,-0.6127717020481631
102,-157,17,-132,-41,1482.811,-6.043957556916121,-5.087067264104375,-0.956890292811746
103,-144,11,-121,-39,1482.811,-5.546762900908328,-4.665100738501926,-0.8816621624064016
104,-127,8,-117,-34,1482.811,-4.895329766836954,-4.511529911429713,-0.3837998554072408
105,-145,40,-131,-27,1482.811,-5.58503928101708,-5.048728558519447,-0.5363107224976327
106,-141,35,-132,-24,1482.811,-5.431903451617631,-5.087067264104375,-0.3448361875132564
107,-139,50,-132,-19,1482.811,-5.355306722057347,-5.087067264104375,-0.2682394579529719
108,-132,58,-124,-15,1482.811,-5.087067264104375,-4.780234676019892,-0.3068325880844833
109,-112,78,-113,-4,1482.811,-4.31947523725271,-4.357894197560385,0.03841896030767522
110,-133,90,-121,1,1482.811,-5.125401273934249,-4.665100738501926,-0.46030053543232263
