Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-02 16:50:07.579,2023-05-02 16:50:07.438,141
2023-05-02 16:50:08.546,2023-05-02 16:50:08.439,107
2023-05-02 16:50:09.547,2023-05-02 16:50:09.438,109
2023-05-02 16:50:10.569,2023-05-02 16:50:10.438,131
2023-05-02 16:50:11.587,2023-05-02 16:50:11.439,148
2023-05-02 16:50:12.563,2023-05-02 16:50:12.438,125
2023-05-02 16:50:13.559,2023-05-02 16:50:13.439,120
2023-05-02 16:50:14.563,2023-05-02 16:50:14.439,124
2023-05-02 16:50:15.569,2023-05-02 16:50:15.438,131
2023-05-02 16:50:16.543,2023-05-02 16:50:16.439,104
2023-05-02 16:50:17.542,2023-05-02 16:50:17.438,104
2023-05-02 16:50:18.582,2023-05-02 16:50:18.438,144
2023-05-02 16:50:19.547,2023-05-02 16:50:19.438,109
2023-05-02 16:50:20.581,2023-05-02 16:50:20.439,142
2023-05-02 16:50:21.58,2023-05-02 16:50:21.439,141
2023-05-02 16:50:22.59,2023-05-02 16:50:22.439,151
2023-05-02 16:50:23.583,2023-05-02 16:50:23.438,145
2023-05-02 16:50:24.59,2023-05-02 16:50:24.438,152
2023-05-02 16:50:25.526,2023-05-02 16:50:25.439,87
2023-05-02 16:50:26.534,2023-05-02 16:50:26.439,95
2023-05-02 16:50:27.531,2023-05-02 16:50:27.438,93
2023-05-02 16:50:28.543,2023-05-02 16:50:28.438,105
2023-05-02 16:50:29.544,2023-05-02 16:50:29.439,105
2023-05-02 16:50:30.534,2023-05-02 16:50:30.439,95
2023-05-02 16:50:31.54,2023-05-02 16:50:31.439,101
2023-05-02 16:50:32.574,2023-05-02 16:50:32.439,135
2023-05-02 16:50:33.591,2023-05-02 16:50:33.438,153
2023-05-02 16:50:34.581,2023-05-02 16:50:34.439,142
2023-05-02 16:50:35.595,2023-05-02 16:50:35.438,157
2023-05-02 16:50:36.557,2023-05-02 16:50:36.438,119
2023-05-02 16:50:37.587,2023-05-02 16:50:37.439,148
2023-05-02 16:50:38.587,2023-05-02 16:50:38.438,149
2023-05-02 16:50:39.556,2023-05-02 16:50:39.439,117
2023-05-02 16:50:40.564,2023-05-02 16:50:40.439,125
2023-05-02 16:50:41.573,2023-05-02 16:50:41.438,135
2023-05-02 16:50:42.533,2023-05-02 16:50:42.438,95
2023-05-02 16:50:43.506,2023-05-02 16:50:43.439,67
2023-05-02 16:50:44.5,2023-05-02 16:50:44.438,62
2023-05-02 16:50:45.54,2023-05-02 16:50:45.439,101
2023-05-02 16:50:46.556,2023-05-02 16:50:46.439,117
2023-05-02 16:50:47.538,2023-05-02 16:50:47.438,100
2023-05-02 16:50:48.554,2023-05-02 16:50:48.438,116
2023-05-02 16:50:49.583,2023-05-02 16:50:49.438,145
2023-05-02 16:50:50.548,2023-05-02 16:50:50.438,110
2023-05-02 16:50:51.556,2023-05-02 16:50:51.439,117
2023-05-02 16:50:52.598,2023-05-02 16:50:52.439,159
2023-05-02 16:50:53.5,2023-05-02 16:50:53.439,61
2023-05-02 16:50:54.539,2023-05-02 16:50:54.439,100
2023-05-02 16:50:55.5,2023-05-02 16:50:55.439,61
2023-05-02 16:50:56.533,2023-05-02 16:50:56.438,95
2023-05-02 16:50:57.507,2023-05-02 16:50:57.439,68
2023-05-02 16:50:58.503,2023-05-02 16:50:58.439,64
2023-05-02 16:50:59.539,2023-05-02 16:50:59.438,101
2023-05-02 16:51:00.543,2023-05-02 16:51:00.438,105
2023-05-02 16:51:01.556,2023-05-02 16:51:01.438,118
2023-05-02 16:51:02.546,2023-05-02 16:51:02.439,107
2023-05-02 16:51:03.588,2023-05-02 16:51:03.439,149
2023-05-02 16:51:04.585,2023-05-02 16:51:04.439,146
2023-05-02 16:51:05.561,2023-05-02 16:51:05.438,123
2023-05-02 16:51:06.527,2023-05-02 16:51:06.438,89
2023-05-02 16:51:07.501,2023-05-02 16:51:07.438,63
2023-05-02 16:51:08.53,2023-05-02 16:51:08.439,91
2023-05-02 16:51:09.54,2023-05-02 16:51:09.439,101
2023-05-02 16:51:10.532,2023-05-02 16:51:10.439,93
2023-05-02 16:51:11.532,2023-05-02 16:51:11.438,94
2023-05-02 16:51:12.577,2023-05-02 16:51:12.439,138
2023-05-02 16:51:13.581,2023-05-02 16:51:13.439,142
2023-05-02 16:51:14.544,2023-05-02 16:51:14.438,106
2023-05-02 16:51:15.586,2023-05-02 16:51:15.439,147
2023-05-02 16:51:16.556,2023-05-02 16:51:16.438,118
2023-05-02 16:51:17.583,2023-05-02 16:51:17.439,144
2023-05-02 16:51:18.565,2023-05-02 16:51:18.438,127
2023-05-02 16:51:19.59,2023-05-02 16:51:19.438,152
2023-05-02 16:51:20.599,2023-05-02 16:51:20.438,161
2023-05-02 16:51:21.582,2023-05-02 16:51:21.438,144
2023-05-02 16:51:22.532,2023-05-02 16:51:22.439,93
2023-05-02 16:51:23.535,2023-05-02 16:51:23.438,97
2023-05-02 16:51:24.538,2023-05-02 16:51:24.439,99
2023-05-02 16:51:25.539,2023-05-02 16:51:25.439,100
2023-05-02 16:51:26.549,2023-05-02 16:51:26.438,111
2023-05-02 16:51:27.527,2023-05-02 16:51:27.438,89
2023-05-02 16:51:28.52,2023-05-02 16:51:28.438,82
2023-05-02 16:51:29.532,2023-05-02 16:51:29.438,94
2023-05-02 16:51:30.523,2023-05-02 16:51:30.438,85
2023-05-02 16:51:31.5,2023-05-02 16:51:31.439,61
2023-05-02 16:51:32.527,2023-05-02 16:51:32.439,88
2023-05-02 16:51:33.531,2023-05-02 16:51:33.438,93
2023-05-02 16:51:34.533,2023-05-02 16:51:34.438,95
2023-05-02 16:51:35.539,2023-05-02 16:51:35.439,100
